,id,categories,name,price,type,accessories
146,93608110,1,CHAQUETA HARLEY DAVIDSON  DE PUNTO Y CUERO,0.000000,simple,
147,93608115,1,"HEADLAMP,DUAL HAL,RH-DIP,HDI",256.120000,simple,
148,93608141,1,ASIENTO TRASERO  XL883 SPORTSTER 883,130.570000,simple,
149,93608151,10000015,"NUT,CUST,SEAT MOUNT,BLK",28.250000,simple,
150,93608249,1;7;10007;10008;10009;10087;10000027;10000028;10000029;10000381;10000388;10000389;10000401,PUÑOS H-D CALEFACTABLES AIRFLOW - CROMADO BY Dyna - Softail - Touring,318.890000,simple,
151,93608250,1,"KIT, GRIP, HEATED, SM CHRM RUB",318.890000,simple,
152,93608251,1,DYNA MANMADE SADDLEBAG ASSY R,306.640000,simple,
153,93608252,10000015,"KIT-SWITCHPACK ASY,BACKLIT,FLH",286.020000,simple,
154,93608253,1,KURYAKYN HI-FIVE MACH 2 AIR CL,265.340000,simple,
155,93608254,10000015,"KIT-TURNSIGNAL-RUN LAMP,RED,FL",264.460000,simple,
156,93608255,1,"KIT,STOR,BAG,PREM,T-PAK RACK",264.460000,simple,
157,93608256,1,KIT SPEAKER PREMIUN AUDIO BOOM STAGE I,219.830000,simple,
158,93608257,10000015,"KIT-GRIPS,ETC,BRASS COLLECTION",165.410000,simple,
159,93608258,10000015,"KIT-BEZEL,GAUGES,CONTEMP,BLACK",165.410000,simple,
160,93608259,1,"COVER,MTRCYCLE,W/O LOGO, TOURI",165.410000,simple,
161,93608260,1,SWING ARM BAG 59904-00,159.350000,simple,
162,93608261,1,DEFIANCE HAND GRIPS - BLK ANOD,154.520000,simple,
163,93608262,1,"KIT,THROT/GRIP,GRIPS,NON-HEATED",154.520000,simple,
164,93608263,1,CHROME SWITCH HOUSING SPORT,154.520000,simple,
165,93608264,1,DEFIANCE HAND GRIPS - CHROME,143.630000,simple,
166,93608266,1,KIT ADJUSTABLE AIR DEFLECTORS,132.750000,simple,
167,93608268,1,"KIT,GRIP,ETC,RIDE FREE",121.860000,simple,
168,93608269,1,"KIT,H'GRIP,SKULL,HEATED,BLACK",109.890000,simple,
